🕘️更新时间,#genre#
CCTV-8,http://171.120.189.21:89/rtp/226.0.2.211:9600
CCTV-9,http://27.223.143.234:4001/rtp/239.253.254.79:8000
CCTV-9,http://27.223.143.225:4001/rtp/239.253.254.79:8000
CCTV-9,http://27.223.171.195:4001/rtp/239.253.254.79:8000
CCTV-9,http://39.77.22.1:4001/rtp/239.253.254.79:8000
CCTV-9,http://27.210.20.247:4001/rtp/239.253.254.79:8000
CCTV-9,http://144.255.16.170:6688/rtp/239.21.1.153:5002
CCTV-9,http://183.191.140.139:8001/rtp/226.0.2.161:9200
CCTV-9,http://117.64.102.205:4022/rtp/238.1.78.240:7792
CCTV-9,http://171.120.189.21:89/rtp/226.0.2.161:9200
CCTV-9,http://221.232.243.168:40000/rtp/239.254.96.157:9016
CCTV-10,http://27.223.143.234:4001/rtp/239.253.254.234:8000
CCTV-10,http://27.223.143.225:4001/rtp/239.253.254.234:8000
CCTV-10,http://27.223.171.195:4001/rtp/239.253.254.234:8000
CCTV-10,http://39.77.22.1:4001/rtp/239.253.254.234:8000
CCTV-10,http://27.210.20.247:4001/rtp/239.253.254.234:8000
CCTV-10,http://171.83.2.139:1234/rtp/239.69.1.105:10268
CCTV-10,http://144.255.16.170:6688/rtp/239.21.1.155:5002
CCTV-10,http://183.191.140.139:8001/rtp/226.0.2.162:9208
CCTV-10,http://117.64.102.205:4022/rtp/238.1.78.241:7800
CCTV-10,http://171.120.189.21:89/rtp/226.0.2.162:9208
CCTV-11,http://27.223.143.234:4001/rtp/239.253.254.169:8000
CCTV-11,http://27.223.143.225:4001/rtp/239.253.254.169:8000
CCTV-11,http://27.223.171.195:4001/rtp/239.253.254.169:8000
CCTV-11,http://39.77.22.1:4001/rtp/239.253.254.169:8000
CCTV-11,http://27.210.20.247:4001/rtp/239.253.254.169:8000
CCTV-11,http://171.83.2.139:1234/rtp/239.69.1.154:10560
CCTV-11,http://144.255.16.170:6688/rtp/239.21.2.2:5002
CCTV-11,http://117.64.102.205:4022/rtp/238.1.78.206:7502
CCTV-11,http://221.232.243.168:40000/rtp/239.254.96.159:9028
CCTV-11,http://220.176.218.27:9000/rtp/239.252.219.78:5140
CCTV-12,http://27.223.143.234:4001/rtp/239.253.254.235:8000
CCTV-12,http://27.223.143.225:4001/rtp/239.253.254.235:8000
CCTV-12,http://27.223.171.195:4001/rtp/239.253.254.235:8000
CCTV-12,http://39.77.22.1:4001/rtp/239.253.254.235:8000
CCTV-12,http://27.210.20.247:4001/rtp/239.253.254.235:8000
CCTV-12,http://144.255.16.170:6688/rtp/239.21.1.156:5002
CCTV-12,http://183.191.140.139:8001/rtp/226.0.2.164:9224
CCTV-12,http://117.64.102.205:4022/rtp/238.1.78.242:7808
CCTV-12,http://171.120.189.21:89/rtp/226.0.2.164:9224
CCTV-12,http://221.232.243.168:40000/rtp/239.254.96.160:9034
CCTV-13,http://27.223.143.234:4001/rtp/239.253.254.175:8000
CCTV-13,http://27.223.143.225:4001/rtp/239.253.254.175:8000
CCTV-13,http://27.223.171.195:4001/rtp/239.253.254.175:8000
CCTV-13,http://39.77.22.1:4001/rtp/239.253.254.175:8000
CCTV-13,http://27.210.20.247:4001/rtp/239.253.254.175:8000
CCTV-13,http://144.255.16.170:6688/rtp/239.21.2.3:5002
CCTV-13,http://183.191.140.139:8001/rtp/226.0.2.165:9232
CCTV-13,http://117.64.102.205:4022/rtp/238.1.79.35:4392
CCTV-13,http://171.120.189.21:89/rtp/226.0.2.165:9232
CCTV-13,http://221.232.243.168:40000/rtp/239.254.96.161:9040
CCTV-14,http://27.223.143.234:4001/rtp/239.253.254.236:8000
CCTV-14,http://27.223.143.225:4001/rtp/239.253.254.236:8000
CCTV-14,http://27.223.171.195:4001/rtp/239.253.254.236:8000
CCTV-14,http://39.77.22.1:4001/rtp/239.253.254.236:8000
CCTV-14,http://27.210.20.247:4001/rtp/239.253.254.236:8000
CCTV-14,http://144.255.16.170:6688/rtp/239.21.1.157:5002
