Name: CCTV-3, URL: http://27.223.143.234:4001/rtp/239.253.254.191:8000, IPv_Type: ipv4, Date: None, Delay: 402 ms, Speed: 1.24 M/s, Resolution: 1920x1080
Name: CCTV-3, URL: http://27.223.171.195:4001/rtp/239.253.254.191:8000, IPv_Type: ipv4, Date: None, Delay: 386 ms, Speed: 0.98 M/s, Resolution: 1920x1080
Name: CCTV-3, URL: http://39.77.21.232:4001/rtp/239.253.254.191:8000, IPv_Type: ipv4, Date: None, Delay: 414 ms, Speed: 0.59 M/s, Resolution: 1920x1080
Name: CCTV-3, URL: http://39.77.22.1:4001/rtp/239.253.254.191:8000, IPv_Type: ipv4, Date: None, Delay: 394 ms, Speed: 0.97 M/s, Resolution: 1920x1080
Name: CCTV-3, URL: http://42.237.222.241:8899/rtp/225.1.4.158:1194, IPv_Type: ipv4, Date: None, Delay: 390 ms, Speed: 0.74 M/s, Resolution: 1920x1080
Name: CCTV-3, URL: http://61.191.144.238:5800/rtp/238.1.78.170:7232, IPv_Type: ipv4, Date: None, Delay: 442 ms, Speed: 0.00 M/s, Resolution: None
Name: CCTV-4, URL: http://106.59.2.184:55555/rtp/239.200.200.128:8652, IPv_Type: ipv4, Date: None, Delay: 439 ms, Speed: 0.00 M/s, Resolution: None
Name: CCTV-4, URL: http://106.59.2.96:55555/rtp/239.200.200.128:8652, IPv_Type: ipv4, Date: None, Delay: 442 ms, Speed: 0.01 M/s, Resolution: None
Name: CCTV-4, URL: http://113.120.108.132:4000/rtp/239.21.1.154:5002, IPv_Type: ipv4, Date: None, Delay: 432 ms, Speed: 0.05 M/s, Resolution: None
Name: CCTV-4, URL: http://113.120.99.168:7004/rtp/239.21.1.154:5002, IPv_Type: ipv4, Date: None, Delay: 429 ms, Speed: 0.27 M/s, Resolution: None
Name: CCTV-4, URL: http://117.64.102.205:4022/rtp/238.1.78.236:7760, IPv_Type: ipv4, Date: None, Delay: 434 ms, Speed: 0.94 M/s, Resolution: 1920x1080
Name: CCTV-4, URL: http://144.255.16.170:6688/rtp/239.21.1.154:5002, IPv_Type: ipv4, Date: None, Delay: 423 ms, Speed: 0.95 M/s, Resolution: 1920x1080
